Pizza|Focaccia|Cibo italiano
Domenica|Sabato|Giorni del weekend
Gennaio|Febbraio|Mesi invernali
Primavera|Autunno|Stagioni intermedie
Mattina|Pomeriggio|Momenti della giornata
Colazione|Pranzo|Pasti
Cena|Aperitivo|Pasti serali
Antipasto|Primo|Portate
Secondo|Contorno|Portate
Dolce|Frutta|Fine pasto
Espresso|Cappuccino|Caffè
Arancione|Arancio|Tonalità di arancione
Viola|Lilla|Tonalità di viola
Azzurro|Celeste|Tonalità di blu
Rosso|Bordeaux|Tonalità di rosso
Verde|Smeraldo|Tonalità di verde
Giallo|Oro|Tonalità di giallo
Nero|Grigio|Colori scuri
Bianco|Avorio|Colori chiari
Rosa|Fucsia|Tonalità di rosa
Marrone|Beige|Colori neutri
