Pizza|cheese,slice,italian,oven,tomato
Chef|kitchen,plates,recipe,restaurant,hat
Baker|bread,oven,flour,dough,croissant
Barber|hair,scissors,cut,razor,shop
Teacher|school,lesson,students,board,grades
Lawyer|court,law,trial,client,defense
Police|uniform,arrest,handcuffs,patrol,law
Firefighter|fire,flames,water,helmet,truck
Skier|snow,ski,mountain,slope,poles
Swimmer|pool,water,strokes,lane,suit
Ballerina|dance,tutu,stage,spin,shoes
Singer|voice,song,microphone,stage,music
Piano|keys,play,music,black,notes
Violin|bow,strings,orchestra,play,music
Trumpet|breath,brass,play,jazz,music
Drums|sticks,rhythm,play,rock,cymbals
Traffic light|red,green,road,traffic,yellow
Umbrella|rain,water,open,handle,wet
Glasses|sight,lenses,nose,read,frame
Hat|head,cap,sun,brim,wear
Shoes|feet,laces,walk,sole,pair
Gloves|hands,cold,winter,fingers,wool
Scarf|neck,cold,winter,wool,warm
Bag|shoulder,woman,items,handle,leather
Wallet|money,cards,pocket,leather,coins
Key|door,lock,open,house,turn
Mirror|reflection,glass,image,bathroom,look
Bed|sleep,mattress,pillow,blanket,bedroom
Sofa|living,sit,soft,cushions,relax
Fridge|cold,food,kitchen,store,ice
Washing machine|clothes,water,wash,spin,detergent
Oven|hot,bake,kitchen,pizza,cake
Vacuum|clean,dust,floor,house,hose
Broom|clean,floor,bristles,sweep,handle
Candle|wax,flame,light,wick,melt
Light bulb|light,electricity,turn,glass,filament
Painting|frame,wall,picture,museum,art
Statue|stone,monument,sculpture,square,marble
Castle|king,towers,medieval,walls,princess
Bridge|river,cross,water,construction,arch
Tower|tall,pisa,climb,structure,top
Lighthouse|sea,light,cliff,ships,tower
Church|prayer,bells,mass,priest,cross
Bank|money,account,counter,withdraw,safe
Supermarket|shopping,cart,checkout,products,aisles
Pharmacy|medicine,prescription,health,cross,pharmacist
Cinema|movie,screen,popcorn,hall,projection
Theater|stage,actors,show,curtain,audience
Museum|works,art,paintings,history,visit
Zoo|animals,cages,lions,visit,enclosures
Circus|tent,clown,acrobats,show,animals
Park|trees,benches,green,walk,playground
Jungle|trees,animals,tropical,green,monkeys
Desert|sand,hot,camel,dunes,dry
Volcano|lava,eruption,mountain,smoke,fire
Rainbow|colors,rain,sun,sky,seven
Storm|wind,rain,lightning,sea,clouds
Lightning|thunder,storm,light,sky,electricity
Cloud|sky,white,rain,sun,fluffy
Star|sky,night,light,shine,shooting
Planet|earth,space,orbit,system,mars
Galaxy|stars,space,universe,milkyway,huge
Dinosaur|extinct,big,prehistoric,trex,fossil
Shark|teeth,sea,fin,dangerous,fish
Whale|sea,big,mammal,ocean,spray
Dolphin|sea,smart,jump,water,fin
Turtle|shell,slow,sea,legs,reptile
Snake|crawl,venom,long,scales,hiss
Spider|web,eight,legs,insect,fear
Bee|honey,flowers,sting,hive,buzz
Butterfly|wings,colors,flowers,caterpillar,fly
Ant|small,work,colony,legs,ground
Cat|meow,purr,whiskers,tail,mouse
Cow|milk,moo,grass,barn,horns
Horse|gallop,saddle,mane,race,hooves
Pig|pink,grunt,mud,farm,tail
Chicken|eggs,cluck,feathers,coop,beak
Sheep|wool,baa,flock,meadow,white
Rabbit|ears,carrot,hop,tail,burrow
Mouse|cheese,small,tail,cat,squeak
Bear|big,honey,forest,hibernate,grizzly
Wolf|pack,howl,forest,teeth,woods
Fox|clever,red,tail,woods,snout
Penguin|ice,swim,white,black,antarctica
Kangaroo|jump,australia,pouch,tail,legs
Giraffe|neck,tall,spots,africa,leaves
Zebra|stripes,africa,white,black,horse
Monkey|banana,tree,jungle,tail,jump
Tiger|stripes,orange,teeth,jungle,feline
Parrot|colors,talk,beak,feathers,tropical
Eagle|flight,beak,wings,sky,raptor
Owl|night,eyes,wise,flight,woods
Swan|white,lake,neck,elegance,water
Duck|quack,water,beak,feathers,pond
Frog|jump,green,pond,croak,amphibian
